star_rating,1_contribution,2_contribution,3_contribution,4_contribution,5_contribution,6_contribution,7_contribution,8_contribution,9_contribution,10_contribution,11_contribution,12_contribution
3.9899999999999682,195.6613755944321,118.37677969478644,71.61894844261111,43.330066836167646,26.215055273133594,15.860329169855296,9.59563269103472,5.8054385728801545,3.512339218129292,2.1249948007095654,1.2856397467918095,0.7778228718390233
3.999999999999968,197.1143400910629,119.17183537025429,72.04917886214663,43.5596561769939,26.335395853550885,15.921913431665844,9.626106580481874,5.819773376892528,3.518531804651136,2.1272419488870065,1.2860927683310404,0.7775488865377089
4.009999999999968,198.57047817204705,119.9680678389704,72.47974338131914,43.78926238666479,26.45566072550955,15.983415711437301,9.65651852188622,5.834068990447743,3.5247031223687424,2.129479805805742,1.2865435998158534,0.7772764173271179
4.019999999999968,200.02982502802354,120.76549717333884,72.91065372616558,44.018892408869384,26.57585400593173,16.04483842038447,9.686869888688642,5.84832615834683,3.5308535416938485,2.1317085257119226,1.2869922767776227,0.7770054397714061
4.029999999999967,201.49241622358463,121.56414357825153,73.34192165086564,44.24855317620198,26.695979790489506,16.10618394993126,9.717162039560666,5.862545615808752,3.53698342762146,2.133928260367665,1.2874388341304708,0.7767359298862494
4.039999999999967,202.95828770372543,122.3640273950462,73.77355894031214,44.47825161187891,26.816042154753593,16.167454672464462,9.747396318880629,5.876728088753916,3.5430931398832555,2.136139159120019,1.287883306188314,0.7764678641263327
4.049999999999967,204.42747580042203,123.16516910550104,74.20557741267844,44.70799463143897,26.93604515532371,16.22865294207193,9.777574057198477,5.890874294080209,3.54918303309667,2.138341368967899,1.2883257266813843,0.7762012193732353
4.059999999999967,205.9000172393402,123.96758933586769,74.63798892198471,44.9377891444284,27.055992830941467,16.289781095265923,9.807696571689602,5.904984939931859,3.555253456909821,2.140535034627047,1.2887661287722454,0.7759359729236979
4.0699999999999665,207.37594914667895,124.7713088609453,75.07080536066455,45.167642056072005,27.175889203586724,16.35084145169228,9.837765166598231,5.919060725961405,3.561304756142445,2.142720298593115,1.289204545071325,0.7756721024782575
4.079999999999966,208.85530905615113,125.5763486081974,75.50403866213372,45.39756026893142,27.2957382795584,16.41183631482598,9.867781133670746,5.933102343585054,3.5673372709229993,2.1448973012029287,1.2896410076519815,0.7754095861302333
4.089999999999966,210.33813491610601,126.38272966191472,75.93770080336282,45.62755068455201,27.415544050540568,16.472767972653887,9.897745752579409,5.947110476231688,3.5733513368220793,2.1470661806940163,1.2900755480651247,0.7751484023550523
4.099999999999966,211.82446509679582,127.19047326742529,76.37180380745518,45.85762020509931,27.535310494654723,16.53363869834511,9.927660291336867,5.961085799585772,3.5793472849822927,2.1492270732624554,1.290508197353404,0.7748885299999
4.109999999999966,213.3143383977913,127.99960083535518,76.80635974623213,46.08777573498641,27.655041577499087,16.594450750909704,9.957526006701833,5.975028981824411,3.585325442244731,2.1513801131191124,1.2909389860649845,0.7746299482736833
4.1199999999999655,214.80779405554892,128.81013394594143,77.24138074282678,46.3180241824934,27.774741253175726,16.655206375846177,9.987344144576326,5.988940683848796,3.591286131272171,2.153525432544334,1.2913679442669246,0.7743726367372961
4.129999999999965,216.30487175113458,129.62209435340023,77.67687897428812,46.548372461379905,27.894413465306314,16.715907805778432,10.017115940394838,6.002821559510245,3.5972296706691296,2.1556631619411455,1.2917951015581721,0.7741165752941725
4.139999999999965,217.80561161810692,130.4355039903522,78.11286667419732,46.77882749249191,28.014062148037315,16.776557261082637,10.046842619505764,6.016672255831086,3.6031563750989,2.1577934298870223,1.2922204870821903,0.7738617441811199
4.149999999999965,219.31005425056517,131.2503849723079,78.54935613529734,47.009396205364,28.13369122703536,16.837156950504546,10.076525397545453,6.030493413220567,3.609066555397684,2.159916363184277,1.292644129539232,0.773608123959418
4.159999999999965,220.81824071136504,132.06675960221534,78.98635971213793,47.24008553981809,28.25330462047352,16.89770907176779,10.106165480805196,6.044285665686011,3.614960518685929,2.1620320869091256,1.2930660571982706,0.773355695506178
4.169999999999964,222.33021254050746,132.88465037507282,79.4238898237372,47.4709024475596,28.372906240009247,16.9582158121736,10.135764066591472,6.058049641039397,3.6208385684769886,2.1641407244594792,1.2934862979086068,0.7731044400059478
4.179999999999964,223.84601176370492,133.7040799826092,79.86195895626206,47.70185389377242,28.492499991754702,17.01867934919248,10.165322343579776,6.071785961099579,3.6267010047832047,2.1662423976015046,1.2939048791111543,0.7728543389425567
4.189999999999964,225.36568090112885,134.5250713180341,80.30057966572811,47.932946858713315,28.612089777240115,17.079101851048257,10.194841492162288,6.08549524189029,3.63254812421951,2.16833722651501,1.2943218278494277,0.77260537409119
4.199999999999964,226.88926297634458,135.34764748086144,80.7397645807218,48.16418833930727,28.731679494370955,17.13948547729496,10.224322684789731,6.099178093834145,3.6383802201046587,2.1704253298376956,1.294737170780234,0.7723575275106842
4.2099999999999635,228.41680152543708,136.17183178180832,81.17952640514552,48.39558535074444,28.851273038379475,17.199832379387022,10.253767086307633,6.1128351219427834,3.644197582560164,2.172506824708308,1.2951509341840837,0.772110781536036
4.219999999999963,229.9483406063337,136.99764774777228,81.61987792098786,48.62714492807991,28.97087430277142,17.260144701243156,10.283175854287324,6.12646692600333,3.6500004986070484,2.1745818268087493,1.295563143975332,0.771865118771116
4.229999999999963,231.4839248083285,137.82511912688997,82.06083199112048,48.85887412783733,29.090487180268433,17.32042457980438,10.312550139351897,6.140074100761329,3.6557892522604867,2.1766504504051736,1.2959738257120577,0.7716205220815796
4.239999999999963,233.02359926181444,138.65426989368027,82.50240156212337,49.09078002961738,29.210115563746946,17.38067414558664,10.341891085497414,6.153657236100314,3.6615641246224215,2.178712808388115,1.2963830046056923,0.7713769745879689
4.249999999999963,234.5674096482268,139.48512425427379,82.94459966713995,49.32286973771196,29.32976334717401,17.44089552322827,10.371199830409573,6.167216917218142,3.6673253939722428,2.180769012311676,1.2967907055304067,0.7711344596589972
4.2599999999999625,236.11540221020704,140.31770665173354,83.38743942876424,49.55515038272556,29.449434426540915,17.501090832032965,10.400477505776143,6.180753724800266,3.6730733358556056,2.1828191724318233,1.2971969530322651,0.7708929609050099
4.269999999999962,237.66762376198935,141.15204177146833,83.83093406196124,49.78762912320421,29.569132700795052,17.561262186508337,10.429725237595331,6.194268235190064,3.678808223171461,2.1848633977438174,1.2976017713381551,0.7706524621716164
