star_rating,total_contribution
1.0,0.0
1.01,1.2500026041764334
1.02,2.500020833645841
1.03,3.750070314873146
1.04,5.000166676667385
1.05,6.250325551354323
1.06,7.500562575949713
1.07,8.750893393333447
1.08,10.0013336534248
1.09,11.251899014359005
1.1,12.502605143665356
1.11,13.753467719447091
1.12,15.004502431563251
1.1300000000000001,16.25572498281275
1.1400000000000001,17.507151090120896
1.1500000000000001,18.758796485728535
1.1600000000000001,20.010676918384124
1.1700000000000002,21.262808154538885
1.1800000000000002,22.515205979545303
1.1900000000000002,23.767886198859212
1.2000000000000002,25.020864639245655
1.2100000000000002,26.274157149988792
1.2200000000000002,27.52777960410605
1.2300000000000002,28.781747899566827
1.2400000000000002,30.036077960515843
1.2500000000000002,31.290785738501533
1.2600000000000002,32.54588721370965
1.2700000000000002,33.80139839620229
1.2800000000000002,35.05733532716259
1.2900000000000003,36.313714080145495
1.3000000000000003,37.57055076233452
1.3100000000000003,38.82786151580519
1.3200000000000003,40.085662518794884
1.3300000000000003,41.34396998697993
1.3400000000000003,42.602800174759686
1.3500000000000003,43.86216937654819
1.3600000000000003,45.122093928073454
1.3700000000000003,46.382590207684885
1.3800000000000003,47.64367463766881
1.3900000000000003,48.90536368557265
1.4000000000000004,50.16767386553783
1.4100000000000004,51.43062173964182
1.4200000000000004,52.6942239192495
1.4300000000000004,53.95849706637419
1.4400000000000004,55.223457895048625
1.4500000000000004,56.48912317270616
1.4600000000000004,57.75550972157246
1.4700000000000004,59.022634420068066
1.4800000000000004,60.29051420422206
1.4900000000000004,61.559166069097174
1.5000000000000004,62.82860707022658
1.5100000000000005,64.09885432506285
1.5200000000000005,65.36992501443927
1.5300000000000005,66.64183638404377
1.5400000000000005,67.91460574590599
1.5500000000000005,69.18825047989773
1.5600000000000005,70.462788035247
1.5700000000000005,71.73823593206626
1.5800000000000005,73.01461176289502
1.5900000000000005,74.29193319425715
1.6000000000000005,75.57021796823346
1.6100000000000005,76.84948390404963
1.6200000000000006,78.12974889968008
1.6300000000000006,79.41103093346815
1.6400000000000006,80.69334806576283
1.6500000000000006,81.97671844057254
1.6600000000000006,83.26116028723645
1.6700000000000006,84.54669192211345
1.6800000000000006,85.83333175028962
1.6900000000000006,87.12109826730419
1.7000000000000006,88.41001006089466
1.7100000000000006,89.70008581276154
1.7200000000000006,90.99134430035299
1.7300000000000006,92.28380439866999
1.7400000000000007,93.5774850820923
1.7500000000000007,94.87240542622602
1.7600000000000007,96.16858460977275
1.7700000000000007,97.46604191642126
1.7800000000000007,98.764796736762
1.7900000000000007,100.06486857022493
1.8000000000000007,101.36627702704119
1.8100000000000007,102.66904183022923
1.8200000000000007,103.97318281760596
1.8300000000000007,105.27871994382312
1.8400000000000007,106.58567328243001
1.8500000000000008,107.89406302796264
1.8600000000000008,109.20390949806021
1.8700000000000008,110.51523313560925
1.8800000000000008,111.82805451091632
1.8900000000000008,113.14239432390957
1.9000000000000008,114.45827340637018
1.9100000000000008,115.77571272419388
1.9200000000000008,117.09473337968352
1.9300000000000008,118.41535661387334
1.9400000000000008,119.73760380888554
1.9500000000000008,121.06149649031977
1.9600000000000009,122.38705632967655
1.9700000000000009,123.71430514681501
1.9800000000000009,125.04326491244593
1.9900000000000009,126.37395775066085
2.000000000000001,127.70640594149779
2.0100000000000007,129.0406319235447
2.020000000000001,130.3766582965813
2.030000000000001,131.71450782426007
2.040000000000001,133.05420343682718
2.0500000000000007,134.3957682338851
2.060000000000001,135.7392254871961
2.070000000000001,137.08459864352912
2.080000000000001,138.43191132755018
2.0900000000000007,139.78118734475765
2.100000000000001,141.13245068446307
2.110000000000001,142.48572552281823
2.120000000000001,143.8410362258906
2.130000000000001,145.19840735278723
2.140000000000001,146.55786365882827
2.1500000000000012,147.91943009877156
2.160000000000001,149.2831318300893
2.170000000000001,150.64899421629798
2.180000000000001,152.01704283034252
2.1900000000000013,153.3873034580359
2.200000000000001,154.759802101556
2.210000000000001,156.13456498300044
2.220000000000001,157.51161854800054
2.2300000000000013,158.8909894693963
2.240000000000001,160.27270465097317
2.250000000000001,161.65679123126324
2.260000000000001,163.04327658741008
2.2700000000000014,164.43218833910083
2.280000000000001,165.82355435256622
2.290000000000001,167.21740274464975
2.300000000000001,168.61376188694834
2.3100000000000014,170.01266041002515
2.320000000000001,171.41412720769708
2.330000000000001,172.8181914413989
2.340000000000001,174.2248825446241
2.3500000000000014,175.6342302274463
2.360000000000001,177.04626448112163
2.370000000000001,178.46101558277516
2.3800000000000012,179.87851410017208
2.3900000000000015,181.29879089657612
2.4000000000000012,182.72187713569826
2.410000000000001,184.1478042867361
2.4200000000000013,185.5766041295074
2.4300000000000015,187.00830875967912
2.4400000000000013,188.4429505940952
2.450000000000001,189.88056237620464
2.4600000000000013,191.3211771815923
2.4700000000000015,192.76482842361548
2.4800000000000013,194.21154985914825
2.490000000000001,195.66137559443686
2.5000000000000013,197.11434009106773
2.5100000000000016,198.57047817205196
2.5200000000000014,200.02982502802848
2.530000000000001,201.49241622358957
2.5400000000000014,202.95828770373046
2.5500000000000016,204.42747580042712
2.5600000000000014,205.90001723934535
2.570000000000001,207.37594914668406
2.5800000000000014,208.85530905615636
2.5900000000000016,210.33813491611127
2.6000000000000014,211.8244650968011
2.610000000000001,213.3143383977966
2.6200000000000014,214.8077940555543
2.6300000000000017,216.30487175114004
2.6400000000000015,217.80561161811244
2.6500000000000012,219.3100542505707
2.6600000000000015,220.81824071137058
2.6700000000000017,222.33021254051314
2.6800000000000015,223.84601176371058
2.6900000000000013,225.36568090113454
